layer,description,depth,unit,NA,format,specs,source,citation_url,citation_originator,citation_adress,publication_date
SNDPPT_M_sl7_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 2.00 m,2.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl1_250m_ll.tif,Texture class (USDA system) at depth 0.00 m,0.00 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl2_250m_ll.tif,Texture class (USDA system) at depth 0.05 m,0.05 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl3_250m_ll.tif,Texture class (USDA system) at depth 0.15 m,0.15 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl4_250m_ll.tif,Texture class (USDA system) at depth 0.30 m,0.30 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl5_250m_ll.tif,Texture class (USDA system) at depth 0.60 m,0.60 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl6_250m_ll.tif,Texture class (USDA system) at depth 1.00 m,1.00 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TEXMHT_M_sl7_250m_ll.tif,Texture class (USDA system) at depth 2.00 m,2.00 m,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TEXMHT_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_250m_ll.tif,Predicted WRB 2006 subgroup classes (as integers),None,factor,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Acric.Ferralsols_250m_ll.tif,Predicted probability in percent for: Acric Ferralsols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Acric.Ferralsols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Acric.Plinthosols_250m_ll.tif,Predicted probability in percent for: Acric Plinthosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Acric.Plinthosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Albic.Arenosols_250m_ll.tif,Predicted probability in percent for: Albic Arenosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Albic.Arenosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Albic.Luvisols_250m_ll.tif,Predicted probability in percent for: Albic Luvisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Albic.Luvisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Alic.Nitisols_250m_ll.tif,Predicted probability in percent for: Alic Nitisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Alic.Nitisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Aluandic.Andosols_250m_ll.tif,Predicted probability in percent for: Aluandic Andosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Aluandic.Andosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Aric.Regosols_250m_ll.tif,Predicted probability in percent for: Aric Regosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Aric.Regosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcaric.Regosols_250m_ll.tif,Predicted probability in percent for: Calcaric Regosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcaric.Regosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Chernozems_250m_ll.tif,Predicted probability in percent for: Calcic Chernozems,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Chernozems_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Gleysols_250m_ll.tif,Predicted probability in percent for: Calcic Gleysols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Gleysols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Gypsisols_250m_ll.tif,Predicted probability in percent for: Calcic Gypsisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Gypsisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Histosols_250m_ll.tif,Predicted probability in percent for: Calcic Histosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Histosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Kastanozems_250m_ll.tif,Predicted probability in percent for: Calcic Kastanozems,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Kastanozems_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Luvisols_250m_ll.tif,Predicted probability in percent for: Calcic Luvisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Luvisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Solonetz_250m_ll.tif,Predicted probability in percent for: Calcic Solonetz,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Solonetz_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Calcic.Vertisols_250m_ll.tif,Predicted probability in percent for: Calcic Vertisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Calcic.Vertisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Cryic.Histosols_250m_ll.tif,Predicted probability in percent for: Cryic Histosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Cryic.Histosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Cutanic.Alisols_250m_ll.tif,Predicted probability in percent for: Cutanic Alisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Cutanic.Alisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Endogleyic.Cambisols_250m_ll.tif,Predicted probability in percent for: Endogleyic Cambisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Endogleyic.Cambisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Endogleyic.Planosols_250m_ll.tif,Predicted probability in percent for: Endogleyic Planosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Endogleyic.Planosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Ferralic.Arenosols_250m_ll.tif,Predicted probability in percent for: Ferralic Arenosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Ferralic.Arenosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Ferralic.Cambisols_250m_ll.tif,Predicted probability in percent for: Ferralic Cambisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Ferralic.Cambisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Fibric.Histosols_250m_ll.tif,Predicted probability in percent for: Fibric Histosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Fibric.Histosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Gleyic.Luvisols_250m_ll.tif,Predicted probability in percent for: Gleyic Luvisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Gleyic.Luvisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Gleyic.Podzols_250m_ll.tif,Predicted probability in percent for: Gleyic Podzols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Gleyic.Podzols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Gleyic.Solonetz_250m_ll.tif,Predicted probability in percent for: Gleyic Solonetz,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Gleyic.Solonetz_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Gypsic.Solonchaks_250m_ll.tif,Predicted probability in percent for: Gypsic Solonchaks,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Gypsic.Solonchaks_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Acrisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Acrisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Acrisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Acrisols..Alumic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Acrisols (Alumic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Acrisols..Alumic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Acrisols..Ferric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Acrisols (Ferric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Acrisols..Ferric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Acrisols..Humic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Acrisols (Humic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Acrisols..Humic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Albeluvisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Albeluvisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Albeluvisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Alisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Alisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Alisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Andosols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Andosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Andosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Arenosols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Arenosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Arenosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Arenosols..Calcaric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Arenosols (Calcaric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Arenosols..Calcaric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Calcisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Calcisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Calcisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Calcisols..Sodic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Calcisols (Sodic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Calcisols..Sodic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Calcaric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Calcaric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Calcaric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Chromic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Chromic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Chromic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Dystric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Dystric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Dystric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Eutric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Eutric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Eutric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Humic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Humic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Humic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cambisols..Sodic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cambisols (Sodic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cambisols..Sodic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Chernozems_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Chernozems,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Chernozems_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Cryosols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Cryosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Cryosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Ferralsols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Ferralsols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Ferralsols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Ferralsols..Rhodic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Ferralsols (Rhodic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Ferralsols..Rhodic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Ferralsols..Xanthic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Ferralsols (Xanthic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Ferralsols..Xanthic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Fluvisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Fluvisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Fluvisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Fluvisols..Arenic._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Fluvisols (Arenic),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Fluvisols..Arenic._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Fluvisols..Calcaric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Fluvisols (Calcaric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Fluvisols..Calcaric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Fluvisols..Dystric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Fluvisols (Dystric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Fluvisols..Dystric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Fluvisols..Eutric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Fluvisols (Eutric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Fluvisols..Eutric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Gleysols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Gleysols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Gleysols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Gleysols..Dystric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Gleysols (Dystric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Gleysols..Dystric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Gleysols..Eutric._250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Gleysols (Eutric),None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Gleysols..Eutric._250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Gypsisols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Gypsisols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Gypsisols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Kastanozems_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Kastanozems,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Kastanozems_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
TAXNWRB_Haplic.Leptosols_250m_ll.tif,Predicted probability in percent for: Haplic (undetermined) Leptosols,None,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/TAXNWRB_Haplic.Leptosols_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
